components,disease_name,functions,indication,medicine_name,usage
红霉素,眼眶肉瘤,1．沙眼、结膜炎、角膜炎。2．预防新生儿淋球菌及沙眼衣原体眼部感染。,沙眼结膜炎角膜炎睑缘炎,红霉素眼膏,涂于眼睑，一日多次。
主要成份为甲磺酸阿帕替尼。,睑板腺癌,艾坦单药适用于既往至少接受过2种系统化疗后进展或复发的晚期胃腺癌或胃-食管结合部腺...,前列腺癌,甲磺酸阿帕替尼片(艾坦),艾坦应在有经验的医生指导下使用。推荐剂量：850mg，每日1次。服用方法：口服，餐后半小...
本品主要成份为：胸腺α1及它小分子多肽。,强直性脊柱炎性巩膜炎,对皮质类固醇敏感的睑结膜、球结膜、角膜及其他眼前段组织的炎症,自身免疫性疾病肝炎肝硬化带状疱疹生殖器疱疹尖锐湿疣支气管炎气管炎支气管哮喘哮喘肺结核红斑狼疮强直性脊柱炎脊柱炎再生障碍性贫血贫血白血病血小板减少症角膜炎结膜炎过敏过敏性鼻炎鼻炎痤疮银屑病鳞状细胞癌皮角硬化疱疹湿疣上呼吸道感染血小板减少疖肿免疫缺陷,氟米龙滴眼液(氟美童),滴眼一次1～2滴，一日2～4次，用前摇匀，滴于结膜囊内。治疗开始的24～48小时，可酌情...
本品主要成份为：膦甲酸钠。其化学名称为：膦甲酸三钠盐六水合物。,带状疱疹病毒性巩膜炎,本品主要用于免疫缺陷者（如艾滋病患者）发生的巨细胞病毒性视网膜炎的治疗。也可用于...,艾滋病网膜炎疱疹,膦甲酸钠氯化钠注射液(可耐),静脉滴注。巨细胞病毒性视网膜炎诱导期用药：每8小时一次，按体重一次滴注60mg/kg，用输...
分子量：C18H14N2O4F4S,睑板腺癌,与促黄体生成素释放激素（LHRH）类似物活外科睾丸切除术联合应用于晚期前列腺癌的治疗,前列腺癌,比卡鲁胺胶囊(岩列舒),口服（1）与促黄体生成素释放激素（LHRH）类似物或外科睾丸切除术联合应用于晚期前列腺...
紫杉醇、人参皂甙、甘草甜素等。,睑板腺癌,用于乳腺癌、卵巢癌、肺癌、宫颈癌、食道癌、直肠癌、肝脏肿瘤、头颈部肿瘤、淋巴细胞...,乳腺癌卵巢癌肺癌宫颈癌直肠癌肠癌白血病,复方红豆杉胶囊(赛诺),1.口服。一次2粒，一日3次，21天为一疗程。2.与EP合用，用法用量同1。3.继续用，用量用法...
"本品化学名称为：6-甲基-17a-羟基孕甾-4,6-二烯-3,20-二酮17-醋酸酯。分子式：C24H32O4分子量...",睑板腺癌,用于晚期子宫内膜癌和乳腺癌激素依赖性患者的姑息治疗。,子宫内膜癌乳腺癌,醋酸甲地孕酮分散片(艾诺克),一般剂量：每次160mg(一片），口服，每日1次。高剂量：每次160mg(一片），口服，每日2-4次
"本品化学名称为：6-甲基-17a-羟基孕甾-4,6-二烯-3,20-二酮17-醋酸酯。分子式：C24H32O4分子量：3...",睑板腺癌,用于晚期子宫内膜癌和乳腺癌激素依赖性患者的姑息治疗。,子宫内膜癌乳腺癌,醋酸甲地孕酮分散片(宜利治),一般剂量：每次160mg(一片），口服，每日1次。高剂量：每次160mg(一片），口服，每日2-4次
每片含60毫克托瑞米芬。,睑板腺癌,适用于治疗绝经后妇女雌激素受体阳性或不详的转移性乳腺癌。,乳腺癌绝经,枸橼酸托瑞米芬片(枢瑞),推荐剂量为每日一次，每次1片(60毫克)。肾功能不全患者：不需调整剂量。肝功能损害者...
"品为以氟尿嘧啶,人参多糖为主制成的口服溶液,含氟尿嘧啶（C4H3FN2O2）应为标示量的90.0％～...",睑板腺癌,用于消化道癌症（结肠癌、直肠癌、胃癌）、乳腺癌、原发性肝癌等癌症的治疗。,结肠癌肠癌直肠癌胃癌乳腺癌原发性肝癌肝癌,复方氟尿嘧啶口服溶液,口服。成人，一次1片，一日2次。
阿那曲唑,睑板腺癌,适用于绝经后妇女的晚期乳腺癌的治疗。对雌激素受体阴性的病人，若其对他莫昔芬呈现阳...,乳腺癌绝经,阿那曲唑片(瑞婷),每日口服一次，每次1片（1毫克）。对轻度肝功能或轻至中度肾功能损害患者一般可勿需调...
主要成分：2-二甲基-N-[4-硝基-3-（三氟甲基）苯基]丙酰胺分子式：C11H11F3N2O3分子量：276.22,睑板腺癌,适用于前列腺癌，对初治及复治患者都可有效。,前列腺癌,氟他胺片(帝益),每次250mg，口服，每日3次。
本品化学名称为：2-二甲基-N-[4-硝基-3-（三氟甲基）苯基]丙酰胺。,睑板腺癌,适用于前列腺癌，对初治及复治患者都可有效。,前列腺癌,氟他胺片(双益),每次250mg，口服，每日3次，饭后服。
本品每1毫升含硫酸新霉素3.0毫克、地塞米松磷酸钠1.0毫克、玻璃酸钠2.0毫克。,梅毒性巩膜炎,用于急、慢性结膜炎、角膜炎、巩膜炎等。,结膜炎角膜炎巩膜炎,复方硫酸新霉素滴眼液,外用，滴眼。一次1-2滴，一日3-5滴。
本品主要成份为：来曲唑,睑板腺癌,用于治疗抗雌激素治疗无效的晚期乳腺癌绝经后患者。,乳腺癌绝经,来曲唑片(芙瑞),口服，每次2.5mg（1片），每天一次。老年患者、轻中度肝功能损伤、肌酐清除率≥10ml/min的...
卡培他滨,睑板腺癌,FDA批准治疗对普通疗法具有抗药性的转移性乳腺癌，治疗转移性结直肠癌联合泰素帝治疗晚...,乳腺癌直肠癌肠癌,卡培他滨片(希罗达),"推荐剂量每日2,500mg/m2,连用两周,休息一周。每日总剂量分早晚两次于饭后半小时用水吞服。"
黄芪、女贞子、光慈菇、重楼、龙葵、紫苏子、僵蚕、大黄、冰片等。,睑板腺癌,扶正祛邪、益气活血、软坚散结、消肿止痛。本品为癌症辅助治疗药物，可配合化疗使用，...,乳腺癌直肠癌肠癌,博尔宁胶囊(长康牌),口服。一日3次，一次4粒或遵医嘱。
本品为金针菇的菌丝体经加工制成的胶囊剂。,睑板腺癌,调补气血，扶正固本。用于胃炎，慢性肝炎，神经性皮炎及癌症病人的辅助治疗。,胃炎慢性肝炎肝炎神经性皮炎皮炎,金菌灵胶囊(大洋),口服。每次4粒，一日2次。
"主要成分为双氯芬酸钠，化学名称为2-[(2,6-二氯苯基)氨基]苯乙酸钠。",梅毒性巩膜炎,用于治疗葡萄膜炎、角膜炎、巩膜炎，抑制角膜新生血管的形成，治疗眼内手术后、激光滤...,葡萄膜炎角膜炎巩膜炎白内障春季结膜炎结膜炎过敏黄斑囊样水肿青光眼水肿,双氯芬酸钠滴眼液(珍视明),一日4～6次，一次1滴；眼科手术用药：术前3、2、1和0.5小时各滴眼一次，一次1滴。白内障...
"本品主要成分为盐酸金刚烷胺，其化学名称为：三环[3，3，1，13,7]癸烷-1-胺盐酸盐。其结构...",A-V综合征,用于帕金森病、帕金森综合征、药物诱发的锥体外系疾患，一氧化碳中毒后帕金森综合征及...,帕金森动脉硬化硬化,盐酸金刚烷胺片,口服帕金森病、帕金森综合征，一次100mg，一日1~2次，一日最大剂量为400mg。抗病毒，成人...
分子量：C21H20FN3O6S,眼睑丹毒,用于治疗对普卢利沙星敏感的葡萄球菌、淋球菌、肺炎球菌、肠球菌、莫拉克斯氏菌、大肠...,肺炎伤寒霍乱毛囊炎蜂窝织炎丹毒皮脂腺囊肿化脓性汗腺炎喉炎扁桃体炎急性支气管炎支气管炎气管炎慢性支气管炎支气管扩张肺气肿支气管哮喘哮喘膀胱炎肾盂肾炎肾炎前列腺炎胆囊炎胆管炎肠炎细菌性痢疾痢疾附件炎麦粒肿中耳炎鼻窦炎疖肿甲周炎囊肿脓肿烫伤手术创伤创伤上呼吸道感染咽喉炎,普卢利沙星胶囊(罗欣力),口服。通常成年人一次0.2g，一日2次。根据症状可适当调整剂量，但一次用量不得超过0.3g。...
分子量：C21H20FN3O6S,眼睑丹毒,对头孢地尼敏感的葡萄球菌属、链球菌属、肺炎球菌、消化链球菌、丙酸杆菌、淋病奈瑟氏...,肺炎淋病喉炎扁桃体炎急性支气管炎支气管炎气管炎中耳炎鼻窦炎肾盂肾炎肾炎膀胱炎尿道炎附件炎前庭大腺炎乳腺炎毛囊炎传染性脓疱病脓疱病丹毒淋巴管炎甲沟炎麦粒肿咽喉炎脓肿继发感染疖肿脓疱蜂窝组织炎,头孢地尼分散片(博骏),用水分散后口服或直接吞服。成人服用的常规剂量为一次0.1g(效价)，一日3次。儿童服用的...
α-甘露聚糖肽,鼻咽癌的眼部病变,用于免疫功能低下、反复呼吸道感染、白细胞减少症和再生障碍性贫血及肿瘤治疗的辅助治...,再生障碍性贫血贫血白细胞减少,甘露聚糖肽片,"口服,一次5～10mg（1～2片）,一日3次,一月一疗程,儿童用量酌减或遵医嘱。"
头孢地尼,眼睑丹毒,对头孢地尼敏感的葡萄球菌属、链球菌属、肺炎球菌、消化链球菌、丙酸杆菌、淋病奈瑟氏...,肺炎淋病喉炎扁桃体炎急性支气管炎支气管炎气管炎中耳炎鼻窦炎肾盂肾炎肾炎膀胱炎尿道炎附件炎前庭大腺炎乳腺炎毛囊炎传染性脓疱病脓疱病丹毒淋巴管炎甲沟炎麦粒肿咽喉炎脓肿继发感染疖肿脓疱蜂窝组织炎,头孢地尼分散片,用水分散后口服或直接吞服。成人服用的常规剂量为一次0.1g(效价)，一日3次。儿童服用的...
主要成分：S-2-[3-氨丙基胺]乙基硫代磷酸分子式：C5H15N2O3PS分子量：214.22,鼻咽癌的眼部病变,1.本品为正常细胞保护剂，主要用于各种癌症的辅助治疗；2.在对肺癌、卵巢癌、乳腺癌、...,肺癌卵巢癌乳腺癌鼻咽癌骨肿瘤,注射用氨磷汀,1对于化疗病人，本品起始剂量为按体表面积一次500～600mg/m2，溶于0.9%氯化钠注射液50ml中...
头孢地尼,眼睑丹毒,对头孢地尼敏感的葡萄球菌属、链球菌属、肺炎球菌、消化链球菌、丙酸杆菌、淋病奈瑟氏...,肺炎淋病喉炎扁桃体炎急性支气管炎支气管炎气管炎中耳炎鼻窦炎肾盂肾炎肾炎膀胱炎尿道炎附件炎前庭大腺炎乳腺炎毛囊炎传染性脓疱病脓疱病丹毒淋巴管炎甲沟炎麦粒肿咽喉炎脓肿继发感染疖肿脓疱蜂窝组织炎,头孢地尼分散片,用水分散后口服或直接吞服。成人服用的常规剂量为一次0.1g(效价)，一日3次。儿童服用的...
本品主要成份为甲苯磺酸妥舒沙星。,眼睑丹毒,适用于敏感菌所致的下列感染：1.上下呼吸道感染：咽、扁桃体炎、急慢性支气管炎、肺炎...,扁桃体炎慢性支气管炎支气管炎气管炎肺炎肾盂肾炎肾炎膀胱炎前列腺炎尿道炎子宫内膜炎细菌性痢疾痢疾肠炎毛囊炎痤疮丹毒泪囊炎外耳道炎中耳炎副鼻窦炎鼻窦炎乳腺炎下呼吸道感染皮肤软组织感染软组织感染伤口感染,甲苯磺酸妥舒沙星分散片(希尔福),口服，成人一日0.3～0.45g（2～3片），分2～3次服用。严重感染者一日0.6g（4片）分2～3次服...
本品的主要成份为聚乙烯醇。,眼球震颤,可作为一种润滑剂预防或治疗眼部干涩、异物感、眼疲劳等刺激症状或改善眼部的干燥症状...,眼疲劳疲劳,聚乙烯醇滴眼液,滴眼。一日3～4次，一次1～2滴。
甲苯磺酸妥舒沙星。,眼睑丹毒,适用于敏感菌所致的下列感染：1.上下呼吸道感染：咽、扁桃体炎、急慢性支气管炎、肺炎...,扁桃体炎慢性支气管炎支气管炎气管炎肺炎肾盂肾炎肾炎膀胱炎前列腺炎尿道炎子宫内膜炎细菌性痢疾痢疾肠炎毛囊炎痤疮丹毒泪囊炎外耳道炎中耳炎副鼻窦炎鼻窦炎乳腺炎下呼吸道感染皮肤软组织感染软组织感染伤口感染,甲苯磺酸妥舒沙星片(诺力思),口服，成人一日0.3～0.45g，分2～3次服用。严重感染者一日0.6g，分2～3次服用。
头孢地尼,眼睑丹毒,对头孢地尼敏感的葡萄球菌属、链球菌属、肺炎球菌、消化链球菌、丙酸杆菌、淋病奈瑟氏...,肺炎淋病喉炎扁桃体炎急性支气管炎支气管炎气管炎中耳炎鼻窦炎肾盂肾炎肾炎膀胱炎尿道炎附件炎前庭大腺炎乳腺炎毛囊炎传染性脓疱病脓疱病丹毒淋巴管炎甲沟炎麦粒肿咽喉炎脓肿继发感染疖肿脓疱蜂窝组织炎,头孢地尼分散片(希福尼),用水分散后口服或直接吞服。成人服用的常规剂量为一次0.1g(效价)，一日3次。儿童服用的...
头孢地尼,眼睑丹毒,对头孢地尼敏感的葡萄球菌属、链球菌属、肺炎球菌、消化链球菌、丙酸杆菌、淋病奈瑟氏...,肺炎淋病喉炎扁桃体炎急性支气管炎支气管炎气管炎中耳炎鼻窦炎肾盂肾炎肾炎膀胱炎尿道炎附件炎前庭大腺炎乳腺炎毛囊炎传染性脓疱病脓疱病丹毒淋巴管炎甲沟炎麦粒肿咽喉炎脓肿继发感染疖肿脓疱蜂窝组织炎,头孢地尼分散片(达力先),用水分散后口服或直接吞服。成人服用的常规剂量为一次0.1g(效价)，一日3次。儿童服用的...
头孢地尼,眼睑丹毒,对头孢地尼敏感的葡萄球菌属、链球菌属、肺炎球菌、消化链球菌、丙酸杆菌、淋病奈瑟氏...,肺炎淋病喉炎扁桃体炎急性支气管炎支气管炎气管炎中耳炎鼻窦炎肾盂肾炎肾炎膀胱炎尿道炎附件炎前庭大腺炎乳腺炎毛囊炎传染性脓疱病脓疱病丹毒淋巴管炎甲沟炎麦粒肿咽喉炎脓肿继发感染疖肿脓疱蜂窝组织炎,头孢地尼分散片(兴易比可),用水分散后口服或直接吞服。成人服用的常规剂量为一次0.1g(效价)，一日3次。儿童服用的...
甲苯磺酸妥舒沙星。,眼睑丹毒,适用于敏感菌所致的下列感染：1.上下呼吸道感染：咽、扁桃体炎、急慢性支气管炎、肺炎...,扁桃体炎慢性支气管炎支气管炎气管炎肺炎肾盂肾炎肾炎膀胱炎前列腺炎尿道炎子宫内膜炎细菌性痢疾痢疾肠炎毛囊炎痤疮丹毒泪囊炎外耳道炎中耳炎副鼻窦炎鼻窦炎乳腺炎下呼吸道感染皮肤软组织感染软组织感染伤口感染,甲苯磺酸妥舒沙星片(赐尔泰),口服，成人一日0.3～0.45g，分2～3次服用。严重感染者一日0.6g，分2～3次服用。
本品主要成分为甲苯磺酸妥舒沙星，其化学名为7-［3-氨基-1-（吡咯烷基）］-1-（2，4-二氟...,眼睑丹毒,适用于敏感菌所致的下列感染：1.上下呼吸道感染：咽、扁桃体炎、急慢性支气管炎、肺炎...,扁桃体炎慢性支气管炎支气管炎气管炎肺炎肾盂肾炎肾炎膀胱炎前列腺炎尿道炎子宫内膜炎细菌性痢疾痢疾肠炎毛囊炎痤疮丹毒泪囊炎外耳道炎中耳炎副鼻窦炎鼻窦炎乳腺炎下呼吸道感染皮肤软组织感染软组织感染伤口感染,甲苯磺酸妥舒沙星片(赐尔泰),口服，成人一日0.3～0.45g，分2～3次服用。严重感染者一日0.6g，分2～3次服用。
胸腺肽α1及其他小分子多肽,强直性脊柱炎性巩膜炎,用于治疗各种原发性或继发性T细胞缺陷病，某些自身免疫性疾病，各种细胞免疫功能低下...,自身免疫性疾病肝炎肝硬化带状疱疹生殖器疱疹尖锐湿疣支气管炎气管炎支气管哮喘哮喘肺结核红斑狼疮强直性脊柱炎脊柱炎再生障碍性贫血贫血白血病血小板减少症角膜炎结膜炎过敏过敏性鼻炎鼻炎痤疮银屑病鳞状细胞癌皮角硬化疱疹湿疣上呼吸道感染血小板减少疖肿免疫缺陷,注射用胸腺肽(迪美仙),皮下或肌肉注射：1次10-20mg，一日1次或遵医嘱。静脉滴注：一次20-80mg，溶于500ml0.9%氯化钠...
头孢地尼,眼睑丹毒,对头孢地尼敏感的葡萄球菌属、链球菌属、肺炎球菌、消化链球菌、丙酸杆菌、淋病奈瑟氏...,肺炎淋病喉炎扁桃体炎急性支气管炎支气管炎气管炎中耳炎鼻窦炎肾盂肾炎肾炎膀胱炎尿道炎附件炎前庭大腺炎乳腺炎毛囊炎传染性脓疱病脓疱病丹毒淋巴管炎甲沟炎麦粒肿咽喉炎脓肿继发感染疖肿脓疱蜂窝组织炎,头孢地尼分散片(希福尼),用水分散后口服或直接吞服。成人服用的常规剂量为一次0.1g(效价)，一日3次。儿童服用的...
胸腺肽α1及其他小分子多肽,强直性脊柱炎性巩膜炎,用于治疗各种原发性或继发性T细胞缺陷病，某些自身免疫性疾病，各种细胞免疫功能低下...,自身免疫性疾病肝炎肝硬化带状疱疹生殖器疱疹尖锐湿疣支气管炎气管炎支气管哮喘哮喘肺结核红斑狼疮强直性脊柱炎脊柱炎再生障碍性贫血贫血白血病血小板减少症角膜炎结膜炎过敏过敏性鼻炎鼻炎痤疮银屑病鳞状细胞癌皮角硬化疱疹湿疣上呼吸道感染血小板减少疖肿免疫缺陷,注射用胸腺肽(凯雅),皮下或肌肉注射：1次10-20mg，一日1次或遵医嘱。静脉滴注：一次20-80mg，溶于500ml0.9%氯化钠...
胸腺肽α1及其他小分子多肽,强直性脊柱炎性巩膜炎,用于治疗各种原发性或继发性T细胞缺陷病，某些自身免疫性疾病，各种细胞免疫功能低下...,自身免疫性疾病肝炎肝硬化带状疱疹生殖器疱疹尖锐湿疣支气管炎气管炎支气管哮喘哮喘肺结核红斑狼疮强直性脊柱炎脊柱炎再生障碍性贫血贫血白血病血小板减少症角膜炎结膜炎过敏过敏性鼻炎鼻炎痤疮银屑病鳞状细胞癌皮角硬化疱疹湿疣上呼吸道感染血小板减少疖肿免疫缺陷,注射用胸腺肽(凯雅),皮下或肌肉注射：1次10-20mg，一日1次或遵医嘱。静脉滴注：一次20-80mg，溶于500ml0.9%氯化钠...
胸腺肽α1及其他小分子多肽,强直性脊柱炎性巩膜炎,用于治疗各种原发性或继发性T细胞缺陷病，某些自身免疫性疾病，各种细胞免疫功能低下...,自身免疫性疾病肝炎肝硬化带状疱疹生殖器疱疹尖锐湿疣支气管炎气管炎支气管哮喘哮喘肺结核红斑狼疮强直性脊柱炎脊柱炎再生障碍性贫血贫血白血病血小板减少症角膜炎结膜炎过敏过敏性鼻炎鼻炎痤疮银屑病鳞状细胞癌皮角硬化疱疹湿疣上呼吸道感染血小板减少疖肿免疫缺陷,注射用胸腺肽(天龙康),皮下或肌肉注射：1次10-20mg，一日1次或遵医嘱。静脉滴注：一次20-80mg，溶于500ml0.9%氯化钠...
胸腺肽α1及其他小分子多肽,强直性脊柱炎性巩膜炎,用于治疗各种原发性或继发性T细胞缺陷病，某些自身免疫性疾病，各种细胞免疫功能低下...,自身免疫性疾病肝炎肝硬化带状疱疹生殖器疱疹尖锐湿疣支气管炎气管炎支气管哮喘哮喘肺结核红斑狼疮强直性脊柱炎脊柱炎再生障碍性贫血贫血白血病血小板减少症角膜炎结膜炎过敏过敏性鼻炎鼻炎痤疮银屑病鳞状细胞癌皮角硬化疱疹湿疣上呼吸道感染血小板减少疖肿免疫缺陷,注射用胸腺肽(赛威),皮下或肌肉注射：1次10-20mg，一日1次或遵医嘱。静脉滴注：一次20-80mg，溶于500ml0.9%氯化钠...
胸腺肽α1及其他小分子多肽,强直性脊柱炎性巩膜炎,用于治疗各种原发性或继发性T细胞缺陷病，某些自身免疫性疾病，各种细胞免疫功能低下...,自身免疫性疾病肝炎肝硬化带状疱疹生殖器疱疹尖锐湿疣支气管炎气管炎支气管哮喘哮喘肺结核红斑狼疮强直性脊柱炎脊柱炎再生障碍性贫血贫血白血病血小板减少症角膜炎结膜炎过敏过敏性鼻炎鼻炎痤疮银屑病鳞状细胞癌皮角硬化疱疹湿疣上呼吸道感染血小板减少疖肿免疫缺陷,注射用胸腺肽(大白),皮下或肌肉注射：1次10-20mg，一日1次或遵医嘱。静脉滴注：一次20-80mg，溶于500ml0.9%氯化钠...
本品主要为：甲基强的松龙。,强直性脊柱炎性巩膜炎,1.风湿性疾病：作为短期使用的辅助药物（帮助患者渡过急性期或危重期），用于：创伤后...,骨关节炎银屑病银屑病关节炎类风湿性关节炎风湿性关节炎强直性脊柱炎脊柱炎滑囊炎痛风痛风性关节炎系统性红斑狼疮红斑狼疮狼疮性肾炎肾炎皮肌炎多发性肌炎心肌炎风湿性多肌痛天疱疮皮炎蕈样真菌病创伤肌痛疱疹剥脱性皮炎,甲泼尼龙片(美卓乐),口服。初始剂量为一次4mg～48mg(1～12片)不等，一日一次，具体用量可根据病种和病情来确定...
本品的主要成分为碘苷，其化学名为2'-脱氧-5-碘尿苷。分子式：C9H11IN2O5，分子量：354.10。,带状疱疹病毒性巩膜炎,用于单纯疱疹性角膜炎、牛痘病毒性角膜炎和带状疱疹病毒感染。,角膜炎牛痘带状疱疹疱疹,碘苷滴眼液,滴于结膜囊内，每1～2小时1次，每次1～2滴。
头孢地尼，其化学名称为(.).(6R，7R).7.[(Z).2.(2.氨基噻唑.4.基).2.羟亚氨基－乙酰氨基].8.氧代.3...,眼睑丹毒,对头孢地尼敏感的葡萄球菌属、链球菌属、肺炎球菌、消化链球菌、丙酸杆菌、淋病奈瑟氏...,肺炎,头孢地尼胶囊(恒丹),口服。成人服用的常规剂量为一次1粒（100mg效价），一日3次。剂量可依年龄、症状进行适...
本品的主要成分为碘苷，其化学名为2'-脱氧-5-碘尿苷。分子式：C9H11IN2O5，分子量：354.10。,带状疱疹病毒性巩膜炎,用于单纯疱疹性角膜炎、牛痘病毒性角膜炎和带状疱疹病毒感染。,角膜炎牛痘带状疱疹疱疹,碘苷滴眼液,滴于结膜囊内，每1～2小时1次，每次1～2滴。
本品的主要成分为碘苷，其化学名为2'-脱氧-5-碘尿苷。分子式：C9H11IN2O5，分子量：354.10。,带状疱疹病毒性巩膜炎,用于单纯疱疹性角膜炎、牛痘病毒性角膜炎和带状疱疹病毒感染。,角膜炎牛痘带状疱疹疱疹,碘苷滴眼液,滴于结膜囊内，每1～2小时1次，每次1～2滴。
本品的主要成分为碘苷，其化学名为2'-脱氧-5-碘尿苷。分子式：C9H11IN2O5，分子量：354.10。,带状疱疹病毒性巩膜炎,用于单纯疱疹性角膜炎、牛痘病毒性角膜炎和带状疱疹病毒感染。,角膜炎牛痘带状疱疹疱疹,碘苷滴眼液,滴于结膜囊内，每1～2小时1次，每次1～2滴。
本品的主要成分为碘苷，其化学名为2'-脱氧-5-碘尿苷。分子式：C9H11IN2O5，分子量：354.10。,带状疱疹病毒性巩膜炎,用于单纯疱疹性角膜炎、牛痘病毒性角膜炎和带状疱疹病毒感染。,角膜炎牛痘带状疱疹疱疹,碘苷滴眼液,滴于结膜囊内，每1～2小时1次，每次1～2滴。
本品主要成份为：膦甲酸钠。其化学名称为：膦甲酸三钠盐六水合物，分子式CNa3O5P·6H2...,带状疱疹病毒性巩膜炎,本品主要用于免疫缺陷者（如艾滋病患者）发生的巨细胞病毒性视网膜炎的治疗。也可用于...,艾滋病网膜炎疱疹,膦甲酸钠氯化钠注射液(可耐),静脉滴注。1巨细胞病毒性视网膜炎（1）诱导期用药每8小时一次，按体重一次滴注60mg/kg...
本品主要成分为盐酸伐昔洛韦。,带状疱疹病毒性巩膜炎,用于治疗水痘带状疱疹及I型、II型单纯疱疹病毒感染，包括初发和复发的生殖器疱疹病毒感...,水痘带状疱疹生殖器疱疹疱疹,盐酸伐昔洛韦片(丽珠威),口服，一次0.3g，一日2次，饭前空腹服用。带状疱疹连续服药10天。单纯疱疹连续服药7天。
本品主要成分为泛昔洛韦，化学名称为2-[2-（2-氨基-9H-嘌呤-9-基）乙基]-1，3-丙二醇-二乙酯,带状疱疹病毒性巩膜炎,用于治疗带状疱疹和原发性生殖器疱疹。,带状疱疹生殖器疱疹疱疹,泛昔洛韦片(丽珠风),口服，成人一次0.25g，每8小时1次。治疗带状疱疹的疗程为7日，治疗原发性生殖器疱疹的疗...
"羚羊角，白芍，桑椹，天竺黄，香附，延胡索(醋灸)，玄参，黄精，黄药子，女贞子,天冬,...",甲状腺相关眼病,"育阴潜阳，豁痰散结,降逆和中的功效。主要用于瘿病（甲状腺机能亢进）引起的突眼，多...",甲状腺机能亢进心悸心悸怔忡口渴多食消瘦四肢震颤震颤怔忡,抑亢丸(敖东),口服。一次1丸，一日2次。
酒石酸溴莫尼定。,高眼压症,本品适用降低开角型青光眼及高眼压症患者的眼压,开角型青光眼青光眼高眼压症高眼压,酒石酸溴莫尼定滴眼液(沐利汀),常规剂量滴入患者眼每日2次，每次1滴。若不能很好控制，下午可增加1滴。
"本品主要成份为：盐酸左布诺洛尔。其化学名称为：消旋-5-[3-叔丁氨基-2-羟丙氧基]3,4-双氢-...",高眼压症,对原发性开角型青光眼具有良好的降低眼内压疗效。对于某些继发性青光眼，高眼压症，手...,慢性支气管炎支气管炎气管炎支气管扩张细菌性肺炎肺炎肺脓肿鼻窦炎咽炎慢性肾盂肾炎肾盂肾炎肾炎膀胱炎蜂窝织炎丹毒腹膜炎骨髓炎盆腔炎淋病血症脑膜炎脓肿菌尿软组织感染创伤,注射用头孢呋辛钠(达力新)(达力新),滴眼，一次1滴，一日1mdash;2次。滴于结膜囊内，滴后用手指压迫内毗角泪囊部3～5分钟。
酒石酸溴莫尼定。,高眼压症,本品适用降低开角型青光眼及高眼压症患者的眼压。,开角型青光眼青光眼高眼压症高眼压,酒石酸溴莫尼定滴眼液,常规剂量滴入患者眼每日2次，每次1滴。若不能很好控制，下午可增加1滴。
羚羊角、白芍、天竺黄、桑葚、延胡索(醋炙)、青皮(醋炙)、香附、玄参、石决明、黄精、...,甲状腺相关眼病,育阴潜阳，豁痰散结，降逆和中。用于瘿病（甲状腺机能亢进）引起的突眼，多汗心烦，心...,甲状腺机能亢进心悸心悸怔忡口渴多食消瘦肢体震颤震颤怔忡,抑亢散(敖东),口服。一次1袋，一日2次。
"主要成分：本品主要成份为：葛根素。其化学名称为：4,7-二羟基-8-?-D葡萄糖基异黄酮。分...",高眼压症,治疗原发性开角青光眼、高眼压症、原发性闭角型青光眼、继发性青光眼。,青光眼高眼压症高眼压,葛根素滴眼液,成人常用量1％葛根素滴眼液一次1～2滴，滴入眼睑内，闭目3～5分钟。首日3次，以后一日2...
酒石酸溴莫尼定。,高眼压症,本品适用降低开角型青光眼及高眼压症患者的眼压。,开角型青光眼青光眼高眼压症高眼压,酒石酸溴莫尼定滴眼液(阿法根),常规剂量滴入患者眼每日2次，每次1滴。若不能很好控制，下午可增加1滴。
"醋酸氢化可的松,化学名11β,17α,21-三羟基孕甾-4-烯-3,20-二酮21-醋酸酯",虹膜睫状体炎,用于虹膜睫状体炎、角膜炎、虹膜炎、结膜炎等。,虹膜睫状体炎角膜炎结膜炎,醋酸氢化可的松滴眼液(三益),滴眼：一日3-4次，用前摇匀。
主要成分是盐酸卡替洛尔。,高眼压症,对原发性开角型青光眼具有良好的降低眼内压疗效。对于某些继发性青光眼，高眼压症，手...,原发性开角型青光眼开角型青光眼青光眼高眼压症高眼压,盐酸卡替洛尔滴眼液(美开朗),滴眼，一日2次，一次1滴。滴于结膜囊内，滴后用手指压迫内毗角泪囊部3～5分钟。
本品主要成份为:硫酸阿托品。化学名称为:α-(羟甲基)苯乙酸8-甲基-8-氮杂双环[3.2.1]-3-辛酯...,虹膜睫状体炎,角膜炎、虹膜睫状体炎，白内障手术前后及验光前扩瞳。,角膜炎虹膜睫状体炎白内障,硫酸阿托品眼膏(通用),一日三次，涂于眼睑内。
拉坦前列素。化学名称：（Z）-7-【（1R，2R，3R，5S）3，5-二羟基-2-【（3R）-3-羟基-5-苯基-1-...,高眼压症,适用于患有开角型青光眼和高眼压症患者降低眼内压，以及对其他降眼内压药物不能耐受或...,开角型青光眼青光眼高眼压症高眼压,拉坦前列素滴眼液,成人推荐剂量（包括老年人）：每次一滴，每天一次，滴于患眼。晚间使用效果最好。适利...
